Title,URL,Affinity,Average Rank,Keyword Count
PLC programming language fundamentals,https://www.controleng.com/articles/plc-programming-language-fundamentals-for-improved-operations-maintenance/,83,6,35
Engineer,https://en.wikipedia.org/wiki/Engineer,75.37776407,1,26
What Is an Engineer?,https://www.mtu.edu/engineering/outreach/welcome/engineers/,72.30748054,4,28
Engineer Definition & Meaning,https://www.merriam-webster.com/dictionary/engineer,70.54115344,3,26
PLC Programming – The ULTIMATE guide for beginners!,https://www.solisplc.com/what-is-plc-programming,65.27574292,5,27
ENGINEER | definition in the Cambridge English Dictionary,https://dictionary.cambridge.org/us/dictionary/english/engineer,62.06853836,5,26
"What Is an Engineer? (Types, Salaries and Responsibilities)",https://www.indeed.com/career-advice/finding-a-job/what-is-an-engineer,57.29059852,7,26
What is Engineering and What Do Engineers Do? | EFK,https://www.engineeringforkids.com/about/news/2024/february/what-is-engineering-and-what-do-engineers-do/,56.99724456,6,24
What does an engineer do?,https://www.careerexplorer.com/careers/engineer/,55.9761486,7,26
Architecture and Engineering Occupations,https://www.bls.gov/ooh/architecture-and-engineering/,54.27199013,7,25
How to Program a PLC using Ladder Logic (for Beginners),https://basicplc.com/plc-programming/,53.40221147,5,22
Mechanical Engineers : Occupational Outlook Handbook,https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm,47.14642619,12,29
Engineering Games,https://www.engineering.com/games/,46.4482516,5,19
What is PLC ? Programmable Logic Controller,https://www.unitronicsplc.com/what-is-plc-programmable-logic-controller/,46.40428473,8,22
PLC Programming : 7 Steps,https://www.instructables.com/PLC-Programming/,44.16724257,6,19
ENGINEER Definition & Meaning,https://www.dictionary.com/browse/engineer,43.29131462,10,23
Programmable logic controller,https://en.wikipedia.org/wiki/Programmable_logic_controller,43.02004147,9,22
Top 10 Engineering Jokes,https://www.engineering.com/top-10-engineering-jokes/,42.34987646,1,15
PLC Programming Languages: Go Beyond Ladder Logic,http://inductiveautomation.com/blog/plc-programming-languages-go-beyond-ladder-logic,42.21700069,11,24
PLC Programming | Allen-Bradley,https://www.automationreadypanels.com/plc-hmi/plc-programming/,41.01243953,9,20
PLC Programming Tutorial for Beginners_ Part 1,https://www.youtube.com/watch?v=y2eWdLk0-Ho,40.95507947,5,17
Hilarious Engineer Jokes: The Updated 2024 Edition,https://www.ppehq.com/blog/engineering-jokes,39.50378261,3,15
How Machine Learning Is Used In Autonomous Vehicles,https://www.rinf.tech/how-machine-learning-is-used-in-autonomous-vehicles/,38.64183571,4,14
Top 5 Most Popular Types of PLC Programming Languages,https://www.solisplc.com/blog/plc-programming-languages,37.62819627,7,17
B&R Industrial Automation,https://www.br-automation.com/en-us/,36.3507988,1,13
10 Jokes Only Engineers Will Find Funny,https://newengineer.com/blog/10-jokes-only-engineers-will-find-funny-1111728,36.3161575,5,15
What is a funny joke that only an engineer would ...,https://www.quora.com/What-is-a-funny-joke-that-only-an-engineer-would-understand,35.86078249,5,15
"Self-Taught, Self-Driving Cars? | The Brink",https://www.bu.edu/articles/2021/self-taught-self-driving-cars/,35.5761731,4,13
How Machine Learning in Automotive Makes Self-Driving ...,https://mindy-support.com/news-post/how-machine-learning-in-automotive-makes-self-driving-cars-a-reality/,35.40540747,4,13
The Role Of Machine Learning In Autonomous Vehicles,https://wandb.ai/ivangoncharov/AVs-report/reports/The-Role-Of-Machine-Learning-In-Autonomous-Vehicles--VmlldzoyNTExMDE3,31.64856359,6,13
Machine Learning Algorithms in Autonomous Driving,https://www.iiot-world.com/artificial-intelligence-ml/machine-learning/machine-learning-algorithms-in-autonomous-driving/,30.70533855,8,14
"engineer - Wiktionary, the free dictionary",https://en.wiktionary.org/wiki/engineer,30.55830335,15,24
Control engineering,https://en.wikipedia.org/wiki/Control_engineering,30.34346925,9,15
10 Best Engineering Jokes,https://content.redpitaya.com/blog/10-best-engineering-jokes,29.82706353,7,14
Civil Engineering Jokes,https://collaborate.asce.org/professionaltopics/discussion/civil-engineering-jokes,29.37168851,8,14
Engineers Have A Great Sense Of Humor As Seen In ...,https://www.boredpanda.com/engineering-jokes/,28.57478224,9,15
Parametric vs. Direct Modeling: Which Side Are You On?,https://www.ptc.com/en/blogs/cad/parametric-vs-direct-modeling-which-side-are-you-on,28.00556347,1,10
How to Program Allen Bradley PLC Training for Beginners,https://www.youtube.com/watch?v=KRJ6Qz3hwZw,27.87698687,9,14
2022 System Integrator Giants,https://www.controleng.com/2022-system-integrator-giants/,27.74896704,7,12
Proportional–integral–derivative controller,https://en.wikipedia.org/wiki/Proportional%E2%80%93integral%E2%80%93derivative_controller,27.64754665,9,14
Cascade Control - an overview,https://www.sciencedirect.com/topics/engineering/cascade-control,27.0739461,2,10
