Twitter Id,Username,Name,Location,SparkScore,Engagement Score,Social Followers,Url,Verified,Account Type,Affinity,Profile Image,Hidden Gem,Description,Social Profile 0,Social Profile 1,Social Profile 2,Social Profile 3,Social Profile 4,Social Profile 5,Social Profile 6,Social Profile 7,Social Profile 8,Social Profile 9
41808136,TheQuarterly,SupplyChainQuarterly,Global,29,21,16399,www.supplychainquarterly.com,0,,10.54,https://pbs.twimg.com/profile_images/248523283/scq_logo_twitter_normal.gif,TRUE,"Six times a year, CSCMP's Supply Chain Quarterly delivers cutting-edge ideas on all aspects of the global supply chain.",https://twitter.com/TheQuarterly,https://facebook.com/supplychainquarterly,,,,,,,,
207505157,PTC,PTC,Worldwide,49,26,60388,www.ptc.com,1,,10.46,https://pbs.twimg.com/profile_images/1542853390870450178/zxRVhOhh_normal.jpg,TRUE,PTC unleashes industrial innovation with market-proven solutions that enable companies to drive #DigitalTransformation. Learn more: https://t.co/61j00bHpGU,https://twitter.com/PTC,https://facebook.com/ptc.inc,https://instagram.com/ptc_inc,https://linkedin.com/company/ptc,,,,,,
20634971,logisticsviewpt,Logistics Viewpoints,"Boston, MA",33,19,23977,logisticsviewpoints.com,0,,10.38,https://pbs.twimg.com/profile_images/92190789/Logistics_Viewpoints-LO-FF_normal.jpg,TRUE,Coverage of #supplychain #logistics #transportation #warehousing #omnichannel #IIoT #digital by @arc_advisory,https://twitter.com/logisticsviewpt,,,,,,,,,
760164753792757760,SupplyChainDive,Supply Chain Dive,"Washington, DC",31,61,15817,www.supplychaindive.com,1,,10.36,https://pbs.twimg.com/profile_images/1247900842008571905/6M_sGNBE_normal.jpg,TRUE,We provide business journalism and in-depth insight into the most impactful news and trends shaping global supply chains. Sign up here: https://t.co/z4oNQdf7BK,https://twitter.com/SupplyChainDive,https://facebook.com/supplychaindive,https://linkedin.com/company/supply-chain-dive-supply-chain-and-logistics-news,,,,,,,
16885335,eeportal_com,Electric Engineering,Worldwide,38,33,83663,electrical-engineering-portal.com,0,,10.31,https://pbs.twimg.com/profile_images/455459790764777472/LFcQ5DzY_normal.png,TRUE,Electrical Engineering Portal is one of the world’s largest professional web portal dedicated to electrical science and education.,https://twitter.com/eeportal_com,https://facebook.com/eeportal,https://linkedin.com/company/eep---electrical-engineering-portal,,,,,,,
30056032,EDNcom,EDN: Voice of the Engineer,,35,22,26402,www.edn.com,0,,10.29,https://pbs.twimg.com/profile_images/472029161851068417/q6ByFpJh_normal.jpeg,TRUE,Electronics Design Network: A community for engineers by engineers.,https://twitter.com/EDNcom,https://instagram.com/edn_network,https://youtube.com/channel/UCp3zZMsVzk3dEv8BFAgSejQ,,,,,,,
19341361,fogoros,Lucian Fogoros,United States,35,41,27372,,0,1,10.28,https://pbs.twimg.com/profile_images/915034497346932736/YNmEZ4tx_normal.jpg,TRUE,Co-Founder https://t.co/KwXjxubObe Cleveland State University Computer Engineering Advisory Board #IIoT #AI #ML #CxO #DigitalTransformation #IndustrialCybersecurity #AR,https://twitter.com/fogoros,https://facebook.com/fogoros,https://linkedin.com/in/fogoros,,,,,,,
485661489,jakajima,"Jakajima, Matchmaker for Innovators","Eindhoven, The Netherlands",38,15,50908,www.jakajima.eu,0,,10.28,https://pbs.twimg.com/profile_images/1301122393931493378/YY95luYz_normal.jpg,TRUE,"All about Innovation / R&D in Technology for Healthcare, Agrifood, Aerospace, IoT, IT, Photonics, Electronics, 3D Printing, Sustainability, Automotive and more.",https://twitter.com/jakajima,https://facebook.com/iotevents,https://linkedin.com/company/jakajima,,,,,,,
63175767,LogisticsManagr,Logistics Manager,London,37,19,40638,www.logisticsmanager.com,0,,10.13,https://pbs.twimg.com/profile_images/511080734908362752/ArQ5j_Kt_normal.jpeg,TRUE,News and views from the UK's leading logistics magazine.,https://twitter.com/LogisticsManagr,,,,,,,,,
1062617552,EmergingTechX,Emerging Tech Exchange,"Montclair, NJ",38,13,39640,www.emergingtechexchange.com,0,,10.13,https://pbs.twimg.com/profile_images/1579561494479572998/zhtcmbnK_normal.jpg,TRUE,"Emerging tech exchange covering metaverse, crypto, connected lifestyle, EVs & AI. We bring brands & entrepreneurs together to accelerate digital innovation",https://twitter.com/EmergingTechX,https://facebook.com/iotconsortium,https://linkedin.com/company/10819295,https://youtube.com/channel/UCFs7SuQJQhjyfPWPEqAUc1Q,,,,,,
