Keyword,Affinity,Search Volume,CPC,Keyword Competition
level 10 use boxmen,22.25958159,590,,0
semiconductors future,20.54315169,390,3.53,0.08
game engineering,22.25958159,1300,19.11,0.04
ahu types,21.37166056,590,1.76,0.41
asset integrity,20.93684111,720,30.66,0.03
what is quality of data,20.93684111,1000,14.69,0.05
what does ccps stand for,20.93684111,3600,,0
evinrude boats,21.57565914,320,14.97,0.06
iot at home,31.66287321,260,,0.02
data management and data governance,31.58772486,480,9.23,0.09
vulnerability scan nmap,21.30176751,880,11.9,0.15
structured database,21.30176751,4400,,0
evinrude motor,21.57565914,1600,0.63,0.51
control engineering and automation,22.43093339,1300,11.17,0.05
flyer 3 wright brothers,21.57565914,1000,,0.01
iot healthcare,32.05749084,1600,9.88,0.06
iot in healthcare,21.37166056,1600,9.88,0.06
phillips disaster of 1989,31.40526166,260,,0
plant digitalization,22.08214504,260,0.56,0.14
interplex etch logic,22.02157131,260,1.62,0.1
asme pressure vessel,21.57565914,260,6.55,0.17
phillips explosion,20.93684111,260,,0
languages of plc,22.43093339,320,,0.01
engineer qualities,22.25958159,320,,0
loop drawing,22.02157131,320,,0
asme a17.1/csa b44,21.57565914,320,4.37,0.02
data fabric architecture,20.93684111,320,17.17,0.31
ev charts,20.62440993,320,,0
sip packaging,30.81472754,590,,0
atlis xt,22.08214504,590,1.6,0.14
healthcare iot applications,31.87765529,390,,0.01
invented movable type printing press,21.57565914,480,,0
movable metal type printing press,21.57565914,480,,0
package semiconductor,20.54315169,720,6.67,0.08
security of big data,31.77018807,880,,0.01
big data and security,21.30176751,880,,0.01
big data information security,21.30176751,880,,0.01
master data management tools,20.93684111,1900,23.38,0.44
abet engineering,21.57565914,1000,18,0.09
manufacturing news,54.9600574,1300,6.44,0.05
hope industrial system,32.93922934,1300,2.94,0.68
b31.1 asme,21.57565914,1300,6.32,0.07
mr honda,21.57565914,1300,0.88,0.1
digital eng,21.96025433,2400,25.73,0.08
asme y14 5,21.57565914,3600,2.58,0.09
hughes glomar,21.57565914,3600,,0
nabtesco motion control,32.90896129,260,,0.04
mechanical engineer woman,21.57565914,260,,0
management courses for engineers,21.57565914,260,21.07,0.4
data governance and master data management,21.30176751,260,2.47,0.12
