Domain,Affinity,Linking Websites,Domain Authority,Month Traffic,Hidden Gem
controleng.com,62,7837,55,47840,TRUE
automationworld.com,58.47496326,8073,56,18676,TRUE
plantengineering.com,57.77416073,5371,50,25234,TRUE
automation.com,57.06635018,14135,53,47840,TRUE
csemag.com,50.02328473,6013,51,56565,TRUE
iotforall.com,50.02328473,8672,56,36579,TRUE
dataconomy.com,45.0896349,8176,58,347304,TRUE
directindustry.com,6.727704307,27417,60,853596,TRUE
control.com,6.096982028,8086,49,278980,TRUE
instrumentationtools.com,4.064654685,14396,46,261396,TRUE
plctalk.net,3.433932406,4773,42,362223,TRUE
automationdirect.com,3.223691647,13909,55,270156,TRUE
engineersedge.com,2.733129875,15060,57,457102,TRUE
yokogawa.com,2.663049621,14806,60,199640,TRUE
practicalmachinist.com,2.102407596,21268,53,445976,TRUE
eepower.com,1.962247089,9636,50,226495,TRUE
manufacturingdive.com,1.962247089,941,42,21924,TRUE
stocktitan.net,1.892166836,3107,33,330486,TRUE
xometry.com,1.822086583,3742,54,542623,TRUE
endress.com,1.75200633,14153,58,268719,TRUE
mikeholt.com,1.75200633,7855,49,449623,TRUE
ifm.com,1.681926077,13340,58,341439,TRUE
renewablesnow.com,1.681926077,6253,58,50336,TRUE
radwell.com,1.611845823,2910,46,546951,TRUE
beckhoff.com,1.611845823,13316,57,194616,TRUE
supplychainbrain.com,1.611845823,12312,58,56565,TRUE
iotworldtoday.com,1.611845823,4839,48,48672,TRUE
up.codes,1.611845823,6747,50,547492,TRUE
octopart.com,1.54176557,16829,56,842736,TRUE
iqsdirectory.com,1.54176557,14088,48,203301,TRUE
thefastmode.com,1.54176557,7679,53,32800,TRUE
edaboard.com,1.471685317,8206,51,539377,TRUE
pepperl-fuchs.com,1.471685317,9296,52,142968,TRUE
electricaltechnology.org,1.401605064,20874,52,331968,TRUE
keyence.com,1.401605064,12510,50,199640,TRUE
aibusiness.com,1.401605064,4017,55,117116,TRUE
technologymagazine.com,1.401605064,3730,52,67781,TRUE
semiwiki.com,1.331524811,6174,58,53793,TRUE
mt.com,1.261444557,20400,57,554525,TRUE
fintechfutures.com,1.261444557,11975,54,80940,TRUE
rtinsights.com,1.261444557,3846,53,10025,TRUE
matweb.com,1.191364304,6271,54,325873,TRUE
sick.com,1.191364304,16532,58,239268,TRUE
appinventiv.com,1.191364304,11447,53,173046,TRUE
sme.org,1.191364304,11902,60,31160,TRUE
aimagazine.com,1.191364304,1282,45,54627,TRUE
cybermagazine.com,1.191364304,1209,35,34850,TRUE
traceparts.com,1.121284051,4365,45,654069,TRUE
comsol.com,1.121284051,17087,59,324394,TRUE
instrumart.com,1.121284051,7574,43,148518,TRUE
