Twitter Id,Username,Name,Location,SparkScore,Engagement Score,Social Followers,Url,Verified,Account Type,Affinity,Profile Image,Hidden Gem,Description,Social Profile 0,Social Profile 1,Social Profile 2,Social Profile 3,Social Profile 4,Social Profile 5,Social Profile 6,Social Profile 7,Social Profile 8,Social Profile 9
17371068,IndustryWeek,IndustryWeek,"Cleveland, Ohio",40,22,59035,www.industryweek.com,0,,65,https://pbs.twimg.com/profile_images/897451223808438272/bfzu8UZs_normal.jpg,FALSE,"For #manufacturing business leaders exploring the issues, strategies, trends and technologies that build more competitive & profitable companies.",https://twitter.com/IndustryWeek,https://facebook.com/pages/industryweek/91310488418,https://linkedin.com/company/industry-week,https://youtube.com/user/industryweek,,,,,,
260472941,Dataversity,DATAVERSITY,,0,0,38598,www.dataversity.net,0,,44.73,https://pbs.twimg.com/profile_images/1286039423/DataversityIcon_300px_normal.jpg,FALSE,"Provides educational resources for #DataManagement professionals: webinars, online courses, articles, conferences, free online events, daily news, and more.",https://twitter.com/Dataversity,https://facebook.com/pages/dataversity/202606653090535,https://linkedin.com/company/dataversity,https://youtube.com/user/DataversityChannel,,,,,,
15808647,techreview,MIT Technology Review,"Cambridge, MA",59,3,3811327,www.technologyreview.com,1,,41.35,https://pbs.twimg.com/profile_images/1072880528712495106/ahuQUlOb_normal.jpg,FALSE,Our in-depth reporting on innovation reveals and explains what’s really happening now to help you know what’s coming next. https://t.co/91v2qZ3SCM,https://twitter.com/techreview,https://facebook.com/technologyreview,https://instagram.com/technologyreview,https://linkedin.com/company/mit-technology-review,,,,,,
15231287,Gartner_inc,Gartner,"Stamford, CT",58,6,470951,investor.gartner.com,1,,40.59,https://pbs.twimg.com/profile_images/1622979099848241152/7s_e8VX__normal.jpg,FALSE,"We enable faster, smarter decisions and stronger performance on an organization's mission-critical priorities. 

Community guidelines: https://t.co/YoE73lYEBj",https://twitter.com/Gartner_inc,https://facebook.com/gartnerdigital,https://instagram.com/gartnercareers,https://linkedin.com/company/gartner,https://youtube.com/user/Gartnervideo,,,,,
35203319,EvanKirstel,🇺🇦Evan Kirstel #B2B #TechFluencer,"Boston, MA",47,6,414563,www.evankirstel.com,0,1,37.14,https://pbs.twimg.com/profile_images/1602390330799685636/XtDFRE20_normal.jpg,FALSE,"Tech influencer, contentcreator/Industry Expert w/550K Social followers focused on Enterprise 💻 Cloud ☁️5G 📡AI 🤖Telecom ☎️ CX 🔑 Cyber https://t.co/OtwbCuhoMX",https://twitter.com/EvanKirstel,https://facebook.com/daniel.kraft,https://instagram.com/evankirstel,https://linkedin.com/in/evankirstel,https://youtube.com/channel/UCpz6mUCCbvPP_27f4j5XJDQ,,,,,
26777550,ShopFloorNAM,The NAM,"Washington, DC",49,33,128949,www.nam.org,1,,37.06,https://pbs.twimg.com/profile_images/1514677249022300165/2ev6pZ81_normal.jpg,FALSE,The National Association of Manufacturers works for the success of the people who make things in 🇺🇸. We are the industry’s one-stop resource and voice.,https://twitter.com/ShopFloorNAM,https://facebook.com/nampage,https://linkedin.com/company/national-association-of-manufacturers---nam,,,,,,,
60642052,VentureBeat,VentureBeat,San Francisco + NYC,56,6,1165426,submit.co,1,,36.4,https://pbs.twimg.com/profile_images/1268192121477046272/oxLhAY5V_normal.jpg,FALSE,Obsessed with covering transformative technology.,https://twitter.com/VentureBeat,https://facebook.com/venturebeat,https://linkedin.com/company/venturebeat,https://youtube.com/user/VentureBeat,,,,,,
30261067,CNET,CNET,San Francisco,58,10,8695204,www.cnet.com,1,,36.12,https://pbs.twimg.com/profile_images/1519102815527849984/bl_YCPK0_normal.jpg,FALSE,Your guide to a better future.,https://twitter.com/CNET,https://facebook.com/cnet,https://instagram.com/cnet,https://linkedin.com/company/cnet,https://youtube.com/user/CNETTV,,,,,
20786352,SME_MFG,SME,"Southfield, MI",49,10,70889,www.sme.org,1,,35.98,https://pbs.twimg.com/profile_images/1212749957486317568/XWG4-vRv_normal.png,FALSE,We promote advanced manufacturing and train the workforce. We love to tweet about #mfg technology and trends. ⚙#SMEstands4mfg,https://twitter.com/SME_MFG,https://facebook.com/smemfg,https://instagram.com/sme_mfg,https://linkedin.com/company/sme,https://youtube.com/user/SMEEvents,,,,,
7712452,forrester,Forrester,"Cambridge, MA",55,6,409364,www.forrester.com,1,,33.99,https://pbs.twimg.com/profile_images/1239859821538574337/hHTbxFUJ_normal.jpg,FALSE,"Forrester helps business and technology leaders use customer obsession to accelerate growth. With us, you can be bold at work.",https://twitter.com/forrester,https://facebook.com/forrester,https://instagram.com/forrester_global,https://linkedin.com/company/forrester-research,https://youtube.com/user/ForresterResearch,,,,,
